nuclei,File,Nuclei,n_pairs,tmrFile,Cy5File,X_Cy5,Y_Cy5,Z_Cy5,X_tmr,Y_tmr,Z_tmr,Pair,Distance
1,001.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_001.tif,150,324,20,147,322,22,1,4.12310562561766
1,001.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_001.tif,104,274,24,102,268,25,2,6.40312423743285
3,001.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_001.tif,266,606,21,267,611,23,1,5.47722557505166
3,001.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_001.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_001.tif,260,701,23,261,701,26,2,3.16227766016838
5,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_002.tif,622,340,22,617,336,21,1,6.48074069840786
5,002.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_002.tif,520,312,23,521,317,25,2,5.47722557505166
6,002.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_002.tif,206,463,16,210,460,18,1,5.3851648071345
6,002.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_002.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_002.tif,145,464,27,145,465,30,2,3.16227766016838
10,003.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_003.tif,145,285,20,147,281,18,1,4.89897948556636
10,003.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_003.tif,172,235,21,176,230,20,2,6.48074069840786
12,003.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_003.tif,190,454,22,193,448,22,1,6.70820393249937
12,003.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_003.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_003.tif,257,413,20,257,406,20,2,7
17,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_004.tif,500,740,16,494,739,15,1,6.16441400296898
17,004.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_004.tif,466,797,14,466,796,17,2,3.16227766016838
18,004.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_004.tif,646,808,15,642,811,17,1,5.3851648071345
18,004.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_004.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_004.tif,616,738,22,621,737,20,2,5.47722557505166
20,005.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,183,244,19,185,242,17,1,3.46410161513775
20,005.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,163,233,32,158,237,33,2,6.48074069840786
23,005.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,138,569,24,142,566,22,1,5.3851648071345
23,005.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,156,553,25,161,557,26,2,6.48074069840786
24,005.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,778,750,15,778,750,13,1,2
24,005.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,758,707,25,758,706,22,2,3.16227766016838
25,005.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,339,721,18,344,721,17,1,5.09901951359278
25,005.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_005.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_005.tif,315,806,28,319,804,26,2,4.89897948556636
26,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,345,125,22,344,128,24,1,3.74165738677394
26,006.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,364,83,17,364,79,19,2,4.47213595499958
27,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,466,342,20,466,341,18,1,2.23606797749979
27,006.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,413,394,14,415,399,15,2,5.47722557505166
28,006.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,123,345,18,121,343,20,1,3.46410161513775
28,006.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,82,376,26,84,370,25,2,6.40312423743285
29,006.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,134,716,20,137,720,21,1,5.09901951359278
29,006.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,154,683,15,151,687,17,2,5.3851648071345
30,006.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,743,814,14,746,813,12,1,3.74165738677394
30,006.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_006.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_006.tif,705,764,12,703,769,13,2,5.47722557505166
33,007.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_007.tif,494,595,22,494,601,21,1,6.08276253029822
33,007.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_007.tif,498,559,22,492,557,23,2,6.40312423743285
34,007.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_007.tif,809,967,14,813,970,15,1,5.09901951359278
34,007.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_007.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_007.tif,782,896,17,784,899,15,2,4.12310562561766
35,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_008.tif,506,72,18,502,75,17,1,5.09901951359278
35,008.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_008.tif,447,113,14,442,113,16,2,5.3851648071345
37,008.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_008.tif,188,540,13,191,542,15,1,4.12310562561766
37,008.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_008.tif,151,607,18,148,611,16,2,5.3851648071345
38,008.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_008.tif,606,718,16,606,713,14,1,5.3851648071345
38,008.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_008.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_008.tif,673,770,15,673,771,18,2,3.16227766016838
40,009.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_009.tif,63,131,18,63,130,17,1,1.4142135623731
40,009.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_009.tif,107,75,21,109,77,23,2,3.46410161513775
41,009.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_009.tif,832,263,19,829,262,21,1,3.74165738677394
41,009.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_009.tif,898,277,18,904,274,18,2,6.70820393249937
44,009.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_009.tif,460,911,16,465,909,15,1,5.47722557505166
44,009.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_009.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_009.tif,551,882,18,547,881,16,2,4.58257569495584
45,010.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_010.tif,928,633,14,924,632,13,1,4.24264068711929
45,010.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_010.tif,825,630,12,825,625,12,2,5
46,010.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_010.tif,105,656,18,101,659,18,1,5
46,010.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_010.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_010.tif,75,686,17,79,684,18,2,4.58257569495584
52,014.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_014.tif,661,470,19,657,467,17,1,5.3851648071345
52,014.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_014.tif,684,421,12,689,425,13,2,6.48074069840786
53,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_014.tif,169,707,13,165,706,14,1,4.24264068711929
53,014.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_014.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_014.tif,256,612,10,256,612,13,2,3
58,016.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_016.tif,797,698,15,796,701,13,1,3.74165738677394
58,016.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_016.tif,832,597,10,834,602,11,2,5.47722557505166
59,016.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_016.tif,519,705,13,516,706,14,1,3.3166247903554
59,016.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_016.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_016.tif,515,776,15,520,776,16,2,5.09901951359278
63,017.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_017.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_017.tif,123,739,14,122,744,15,1,5.19615242270663
63,017.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_017.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_017.tif,64,804,9,60,804,11,2,4.47213595499958
66,018.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_018.tif,791,460,15,794,462,14,1,3.74165738677394
66,018.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_018.tif,778,417,10,776,418,12,2,3
67,018.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_018.tif,926,496,13,920,494,12,1,6.40312423743285
67,018.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_018.tif,947,477,10,952,477,8,2,5.3851648071345
68,018.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_018.tif,172,816,12,168,819,14,1,5.3851648071345
68,018.NM,4,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_018.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_018.tif,194,872,19,198,867,20,2,6.48074069840786
73,021.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_021.tif,814,702,14,810,703,16,1,4.58257569495584
73,021.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_021.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_021.tif,868,751,17,864,746,16,2,6.48074069840786
74,022.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,773,501,13,768,502,15,1,5.47722557505166
74,022.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,890,514,14,895,513,16,2,5.47722557505166
75,022.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,231,635,12,231,629,11,1,6.08276253029822
75,022.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,254,566,16,250,569,18,2,5.3851648071345
76,022.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,512,907,16,509,908,16,1,3.16227766016838
76,022.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_022.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_022.tif,478,841,14,477,845,12,2,4.58257569495584
81,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,960,202,15,964,203,13,1,4.58257569495584
81,024.NM,1,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,933,281,14,933,288,14,2,7
82,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,492,364,20,491,367,22,1,3.74165738677394
82,024.NM,2,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,488,384,21,488,390,22,2,6.08276253029822
83,024.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,772,451,9,772,446,11,1,5.3851648071345
83,024.NM,3,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,773,427,18,768,428,20,2,5.47722557505166
85,024.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,709,701,12,703,702,12,1,6.08276253029822
85,024.NM,5,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,743,665,14,748,665,12,2,5.3851648071345
86,024.NM,6,2,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/tmr_024.tif,/home/xiaoze/Desktop/user_folders/Xiaoze/FRET-FISH/iAM752_20220503_001/Cy5_024.tif,319,848,11,318,851,11,1,3.16227766016838
